名称,用途,分类,主题,状态,维护状态,入口,仓库,原始标题,依据,日期
飞书妙搭进阶实战及 AI 开发理论分享,阅读“飞书妙搭进阶实战及 AI 开发理论分享”的纪要、章节与原有资料，回顾讨论内容。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-21-ai-obcnq3eg/,https://github.com/siuserxiaowei/2026-05-21-ai-obcnq3eg,飞书妙搭进阶实战及 AI 开发理论分享,已核对页面标题,2026-05-21
阿里云AI合伙人项目方案分享,阅读“阿里云AI合伙人项目方案分享”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-21-ai-obcnq3h5/,https://github.com/siuserxiaowei/2026-05-21-ai-obcnq3h5,阿里云AI合伙人项目方案分享,已核对页面标题,2026-05-21
硬件产品及合作情况分享,阅读“硬件产品及合作情况分享”的纪要、章节与原有资料，回顾讨论内容。,会议条目,智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-23-feishu-minutes-obcnrxri/,https://github.com/siuserxiaowei/2026-05-23-feishu-minutes-obcnrxri,硬件产品及合作情况分享,已核对页面标题,2026-05-22
对话机器人定制：语音、动作与硬件方案,阅读“对话机器人定制：语音、动作与硬件方案”的纪要、章节与原有资料，回顾讨论内容。,会议条目,智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-23-siuser-obcnrxfo/,https://github.com/siuserxiaowei/2026-05-23-siuser-obcnrxfo,siuser小伟的视频会议,依据原文摘要重新拟题,2026-05-22
机器人结构改版：3D 打印样品、穿线与模具,阅读“机器人结构改版：3D 打印样品、穿线与模具”的纪要、章节与原有资料，回顾讨论内容。,会议条目,智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-25-feishu-minutes-obcntbzq/,https://github.com/siuserxiaowei/2026-05-25-feishu-minutes-obcntbzq,结构需求对接,依据原文摘要重新拟题,2026-05-24
AI 创新大赛路演：企业服务、出海与商业增长,阅读“AI 创新大赛路演：企业服务、出海与商业增长”的纪要、章节与原有资料，回顾讨论内容。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-26-ai-obcntqdu/,https://github.com/siuserxiaowei/2026-05-26-ai-obcntqdu,AI创业项目产品分享与讨论,依据原文摘要重新拟题,2026-05-25
AI 软硬件业务分工、B 端获客与合作,阅读“AI 软硬件业务分工、B 端获客与合作”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-26-feishu-minutes-obcntpp1/,https://github.com/siuserxiaowei/2026-05-26-feishu-minutes-obcntpp1,(无主题),依据原文摘要重新拟题,2026-05-25
AI 服务中转业务：商业模式、渠道与风险讨论,阅读“AI 服务中转业务：商业模式、渠道与风险讨论”的纪要、章节与原有资料，回顾讨论内容。,会议条目,创业、经营与合作,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-27-ai-obcnucp2/,https://github.com/siuserxiaowei/2026-05-27-ai-obcnucp2,AI产品业务合作规划讨论,依据原文摘要重新拟题,2026-05-26
AI不神秘黑客松活动项目分享会,阅读“AI不神秘黑客松活动项目分享会”的纪要、章节与原有资料，回顾讨论内容。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-27-ai-obcnucwb/,https://github.com/siuserxiaowei/2026-05-27-ai-obcnucwb,AI不神秘黑客松活动项目分享会,已核对页面标题,2026-05-26
三人行黑客松活动分工与流程规划,阅读“三人行黑客松活动分工与流程规划”的纪要、章节与原有资料，回顾讨论内容。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-27-feishu-minutes-obcnuci1/,https://github.com/siuserxiaowei/2026-05-27-feishu-minutes-obcnuci1,三人行黑客松活动分工与流程规划,已核对页面标题,2026-05-26
机器人结构优化：传动、续航与量产设计,阅读“机器人结构优化：传动、续航与量产设计”的纪要、章节与原有资料，回顾讨论内容。,会议条目,智能硬件与产品交付,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-27-siuser-obcnup82/,https://github.com/siuserxiaowei/2026-05-27-siuser-obcnup82,siuser小伟的视频会议,依据原文摘要重新拟题,2026-05-26
线下活动礼品与签到安排,阅读“线下活动礼品与签到安排”的纪要、章节与原有资料，回顾讨论内容。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-1-obcnv7p1/,https://github.com/siuserxiaowei/2026-05-29-1-obcnv7p1,产品、行业及课程内容讨论_分段1,依据原文摘要重新拟题,2026-05-29
AI 订阅产品的 LTV、留存与定价策略,阅读“AI 订阅产品的 LTV、留存与定价策略”的纪要、章节与原有资料，回顾讨论内容。,会议条目,AI 编程与 Agent,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-ai-obcnv71u/,https://github.com/siuserxiaowei/2026-05-29-ai-obcnv71u,AI出海业务策略讨论,依据原文摘要重新拟题,2026-05-29
线下活动联动与电商业务交流,阅读“线下活动联动与电商业务交流”的纪要、章节与原有资料，回顾讨论内容。,会议条目,内容创作与社群,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-ai-obcnv7zu/,https://github.com/siuserxiaowei/2026-05-29-ai-obcnv7zu,AI智能硬件业务交流讨论,依据原文摘要重新拟题,2026-05-29
跨境电商自动化：先自营验证，再做工具,阅读“跨境电商自动化：先自营验证，再做工具”的纪要、章节与原有资料，回顾讨论内容。,会议条目,出海、增长与商业化,已归档；历史入口保留,已归档,https://siuserxiaowei.github.io/2026-05-29-ai-obcnv858/,https://github.com/siuserxiaowei/2026-05-29-ai-obcnv858,AI产品及出海业务讨论,依据原文摘要重新拟题,2026-05-29
