platform	display_name	coverage_status	discovered_count	fetched_count	eligible_count	blocked_count	rejected_count	selected_count	access_mode	blocker_or_limit
csdn	CSDN	complete	0	0	0	0	0	0	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=12。
wechat_official_accounts	微信公众号	blocked	0	0	0	0	0	0	public+user_assisted_checkpoint	Browser Bridge/登录或验证缺失；未绕过访问控制。 候选池观察=0。
zhihu	知乎	complete	1	1	1	0	0	1	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=5。
xiaohongshu	小红书	blocked	0	0	0	0	0	0	public+user_assisted_checkpoint	Browser Bridge/登录或验证缺失；未绕过访问控制。 候选池观察=0。
weibo	微博	blocked	0	0	0	0	0	0	public+user_assisted_checkpoint	Browser Bridge/登录或验证缺失；未绕过访问控制。 候选池观察=0。
douyin	抖音	blocked	0	0	0	0	0	0	public+user_assisted_checkpoint	Browser Bridge/登录或验证缺失；未绕过访问控制。 候选池观察=0。
x	X / Twitter	partial	0	0	0	0	0	0	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=4。
bilibili	Bilibili	complete	1	1	1	0	0	1	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=35。
juejin	掘金	complete	1	1	1	0	0	1	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=3。
youtube	YouTube	complete	5	5	5	0	0	5	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=15。
linuxdo	Linux.do	complete	1	1	1	0	0	1	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=8。
github	GitHub	complete	28	28	28	0	0	28	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=48。
baidu_search	百度搜索	partial	0	0	0	0	0	0	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=0。
google_search	Google 搜索	blocked	5	5	5	0	0	5	public+user_assisted_checkpoint	Browser Bridge/登录或验证缺失；未绕过访问控制。 候选池观察=0。
bing_search	Bing 搜索	partial	0	0	0	0	0	0	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=0。
toutiao	今日头条	partial	0	0	0	0	0	0	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=0。
36kr	36氪	complete	0	0	0	0	0	0	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=5。
infoq	InfoQ	complete	1	1	1	0	0	1	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=3。
segmentfault	SegmentFault	complete	1	1	1	0	0	1	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=7。
oschina	开源中国	partial	0	0	0	0	0	0	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=0。
v2ex	V2EX	complete	2	2	2	0	0	2	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=6。
reddit	Reddit	blocked	0	0	0	0	0	0	public+user_assisted_checkpoint	Browser Bridge/登录或验证缺失；未绕过访问控制。 候选池观察=0。
hacker_news	Hacker News	complete	1	1	1	0	0	1	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=8。
medium	Medium	partial	1	1	1	0	0	1	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=3。
linkedin	LinkedIn	partial	2	2	2	0	0	2	public-only	按严格主题回源；空结果不以泛 Agent 内容补数。 候选池观察=2。
kuaishou	快手	blocked	0	0	0	0	0	0	public+user_assisted_checkpoint	Browser Bridge/登录或验证缺失；未绕过访问控制。 候选池观察=0。
wechat_channels	微信视频号	blocked	0	0	0	0	0	0	public+user_assisted_checkpoint	Browser Bridge/登录或验证缺失；未绕过访问控制。 候选池观察=0。
tiktok	TikTok	blocked	0	0	0	0	0	0	public+user_assisted_checkpoint	Browser Bridge/登录或验证缺失；未绕过访问控制。 候选池观察=0。
