evidence_id	source_id	source_url	claim	supports	access_date	excerpt_or_observation	evidence_grade	reviewer_status	reviewer_id
evidence-c133b93b912dffd605a2	source-c133b93b912dffd605a2	https://github.com/earendil-works/pi	Pi 是 Agent Harness monorepo，不只是 coding CLI；学习入口是 pi-ai、pi-agent-core、pi-coding-agent 与 pi-tui。	fact	2026-08-26	Pi 是 Agent Harness monorepo，不只是 coding CLI；学习入口是 pi-ai、pi-agent-core、pi-coding-agent 与 pi-tui。	strong	accepted	primary-curator-codex
evidence-28038f119d8ce8d4b9b2	source-28038f119d8ce8d4b9b2	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/README.md	官方包地图同时明确：Pi 没有内建 permission system，运行权限等于启动用户/进程权限。	fact	2026-08-26	官方包地图同时明确：Pi 没有内建 permission system，运行权限等于启动用户/进程权限。	strong	accepted	primary-curator-codex
evidence-a07be01a683872e820e6	source-a07be01a683872e820e6	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/agent/README.md	把 AgentMessage 到 LLM Message 的边界、事件时序、工具执行和 shouldStopAfterTurn 放在一条可读链路中。	fact	2026-08-26	把 AgentMessage 到 LLM Message 的边界、事件时序、工具执行和 shouldStopAfterTurn 放在一条可读链路中。	strong	accepted	primary-curator-codex
evidence-60c8323ea4aa84ac979c	source-60c8323ea4aa84ac979c	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/agent/src/agent-loop.ts	内层处理工具与 steering，外层排空 follow-up；error/aborted、tool terminate 和确定性 stop hook 共同决定结束。	fact	2026-08-26	内层处理工具与 steering，外层排空 follow-up；error/aborted、tool terminate 和确定性 stop hook 共同决定结束。	strong	accepted	primary-curator-codex
evidence-ba1c4fb96968f306b285	source-ba1c4fb96968f306b285	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/agent/docs/harness.md	当前 core 已增加 immutable entries、registers、usage ledger、原子事务与 tool replay safety；旧 v0.80.2 教程未覆盖。	fact	2026-08-26	当前 core 已增加 immutable entries、registers、usage ledger、原子事务与 tool replay safety；旧 v0.80.2 教程未覆盖。	strong	accepted	primary-curator-codex
evidence-836c146efc2e9b5e760e	source-836c146efc2e9b5e760e	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/agent/src/index.ts	AgentHarness 已从 pi-agent-core 正式导出，但源码仍保留 NotImplemented 错误，不能把规格文档等同于全部路径均完工。	fact	2026-08-26	AgentHarness 已从 pi-agent-core 正式导出，但源码仍保留 NotImplemented 错误，不能把规格文档等同于全部路径均完工。	strong	accepted	primary-curator-codex
evidence-fb825629b04010da2d2f	source-fb825629b04010da2d2f	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/ai/README.md	统一流式、工具消息和 provider 配置；DeepSeek Harness 的通用多模型适配器也复用这一层。	fact	2026-08-26	统一流式、工具消息和 provider 配置；DeepSeek Harness 的通用多模型适配器也复用这一层。	strong	accepted	primary-curator-codex
evidence-163e5146463a5e8815fa	source-163e5146463a5e8815fa	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/ai/src/utils/retry.ts	网络、限流与短暂服务错误走有界退避；quota/billing 与 context overflow 不能混进同一重试策略。	fact	2026-08-26	网络、限流与短暂服务错误走有界退避；quota/billing 与 context overflow 不能混进同一重试策略。	strong	accepted	primary-curator-codex
evidence-e54a64531a193c3f5a27	source-e54a64531a193c3f5a27	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/README.md	四个默认工具、四种运行模式、会话、资源和扩展共同构成可直接使用的终端产品。	fact	2026-08-26	四个默认工具、四种运行模式、会话、资源和扩展共同构成可直接使用的终端产品。	strong	accepted	primary-curator-codex
evidence-1b3867d49c4b7cd3189f	source-1b3867d49c4b7cd3189f	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/quickstart.md	先跑通认证、模型、目录和基础会话，再进入源码与扩展，避免一开始被生态配置淹没。	fact	2026-08-26	先跑通认证、模型、目录和基础会话，再进入源码与扩展，避免一开始被生态配置淹没。	strong	accepted	primary-curator-codex
evidence-bcc6aa6f2f966d1ed532	source-bcc6aa6f2f966d1ed532	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/extensions.md	扩展可热加载并拥有完整进程权限；可塑性与供应链风险来自同一个设计选择。	fact	2026-08-26	扩展可热加载并拥有完整进程权限；可塑性与供应链风险来自同一个设计选择。	strong	accepted	primary-curator-codex
evidence-f3286dcb60e4fe624fe3	source-f3286dcb60e4fe624fe3	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/compaction.md	阈值为 contextWindow-reserveTokens；保留 recent tail、摘要旧内容，并保证 tool call/result 不被错误拆开。	fact	2026-08-26	阈值为 contextWindow-reserveTokens；保留 recent tail、摘要旧内容，并保证 tool call/result 不被错误拆开。	strong	accepted	primary-curator-codex
evidence-8830149ed8d66cbb13e1	source-8830149ed8d66cbb13e1	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/sessions.md	id/parentId 形成树，active path 决定模型上下文；回退、分叉和分支摘要是数据结构上的自然操作。	fact	2026-08-26	id/parentId 形成树，active path 决定模型上下文；回退、分叉和分支摘要是数据结构上的自然操作。	strong	accepted	primary-curator-codex
evidence-f359b4889090cb3bec03	source-f359b4889090cb3bec03	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/session-format.md	消息、compaction、branch summary 等 entry 明确版本与父指针，是迁移、审计和 GUI 的底层契约。	fact	2026-08-26	消息、compaction、branch summary 等 entry 明确版本与父指针，是迁移、审计和 GUI 的底层契约。	strong	accepted	primary-curator-codex
evidence-495821254458a81d946e	source-495821254458a81d946e	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/sdk.md	SDK 提供 session runtime 重建、切换、fork/import 等产品化接缝，适合桌面端、服务端和垂直应用。	fact	2026-08-26	SDK 提供 session runtime 重建、切换、fork/import 等产品化接缝，适合桌面端、服务端和垂直应用。	strong	accepted	primary-curator-codex
evidence-9ee3cee511f9b43173cd	source-9ee3cee511f9b43173cd	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/rpc.md	JSON/RPC 让 Python、桌面 GUI 或远端控制面复用真实 Pi runtime，而不是模拟聊天。	fact	2026-08-26	JSON/RPC 让 Python、桌面 GUI 或远端控制面复用真实 Pi runtime，而不是模拟聊天。	strong	accepted	primary-curator-codex
evidence-fc13252fcf800545b4ec	source-fc13252fcf800545b4ec	https://pi.dev/	官方定位、运行模式、会话树和扩展能力的产品入口。	fact	2026-08-26	官方定位、运行模式、会话树和扩展能力的产品入口。	strong	accepted	primary-curator-codex
evidence-590c5a3faed6d24e1cdb	source-590c5a3faed6d24e1cdb	https://pi.dev/news/2026/5/7/pi-has-a-new-home	v0.74.0 后 badlogic/pi-mono 与旧 npm scope 迁移到 earendil-works；旧教程链接需要做版本映射。	fact	2026-08-26	v0.74.0 后 badlogic/pi-mono 与旧 npm scope 迁移到 earendil-works；旧教程链接需要做版本映射。	strong	accepted	primary-curator-codex
evidence-2bb843c7fee616c919b3	source-2bb843c7fee616c919b3	https://mariozechner.at/posts/2025-11-30-pi-coding-agent	一手解释 provider 差异、partial abort、结构化工具结果、最小 prompt/toolset 和默认高权限的代价。	inference	2026-08-26	一手解释 provider 差异、partial abort、结构化工具结果、最小 prompt/toolset 和默认高权限的代价。	strong	accepted	primary-curator-codex
evidence-e9314ed1416da9038e36	source-e9314ed1416da9038e36	https://github.com/earendil-works/pi/releases/tag/v0.84.3	知识库把 v0.80.2 中文教程与 v0.84.3 当前稳定版分开标记，避免把旧结论误当现状。	fact	2026-08-26	知识库把 v0.80.2 中文教程与 v0.84.3 当前稳定版分开标记，避免把旧结论误当现状。	strong	accepted	primary-curator-codex
