source_id	url	status	source_type	platform	actual_platform	query_id	source_outcome_digest_sha256	accessed_at	notes
source-c133b93b912dffd605a2	https://github.com/earendil-works/pi	verified	official_repository	github	GitHub	query-github-exact	39347ed0ad74923a206cfd46a60cd231fc5b582f6c0d95a6cea4204c5419e67e	2026-08-26	固定版本的一手事实
source-28038f119d8ce8d4b9b2	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/README.md	verified	official_document	github	GitHub	query-github-exact	75380eeaf6fba0f4cce20dd905f173a03db11d5025350dbe482d2d7421c37350	2026-08-26	固定版本的一手事实
source-a07be01a683872e820e6	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/agent/README.md	verified	official_document	github	GitHub	query-github-exact	0148ce30c16760acf017f9ef3454ed3628f681b2bedd8bfabb7e1e652ddceaed	2026-08-26	固定版本的一手事实
source-60c8323ea4aa84ac979c	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/agent/src/agent-loop.ts	verified	source_code	github	GitHub	query-github-exact	4c5cc3c696b9a735d05e5c9a47f57677066e7a3cea3cac502282a5d5aac336dc	2026-08-26	固定版本的一手事实
source-ba1c4fb96968f306b285	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/agent/docs/harness.md	verified	official_document	github	GitHub	query-github-exact	bd93ba1102be970f2fa5c9bc947a833991515e9bd8a3155c15c8508cf212d50d	2026-08-26	固定版本的一手事实
source-836c146efc2e9b5e760e	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/agent/src/index.ts	verified	source_code	github	GitHub	query-github-exact	f966ed3c32ccd23d395c52918b3374f0bbbbdf747ceb6cbb6152a70cfca4ad85	2026-08-26	固定版本的一手事实
source-fb825629b04010da2d2f	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/ai/README.md	verified	official_document	github	GitHub	query-github-exact	a711ee9d3a0f0abb061742e73849de043a96aaf7e848d81ef52d35205a248722	2026-08-26	固定版本的一手事实
source-163e5146463a5e8815fa	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/ai/src/utils/retry.ts	verified	source_code	github	GitHub	query-github-exact	d0733e4759a6a5d79c50a9128023e10cd5b67f103ec9cc345a0d28bd1a6fea48	2026-08-26	固定版本的一手事实
source-e54a64531a193c3f5a27	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/README.md	verified	official_document	github	GitHub	query-github-exact	03436e327f0d2f508ff8f4023121b7364c92dae5a5c5445ccaf0ef001ba15f48	2026-08-26	固定版本的一手事实
source-1b3867d49c4b7cd3189f	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/quickstart.md	verified	official_tutorial	github	GitHub	query-github-exact	ddcacf110dab88c53bd6d43552bed9126849a74bfb7e985ec185ae7b042908ac	2026-08-26	固定版本的一手事实
source-bcc6aa6f2f966d1ed532	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/extensions.md	verified	official_tutorial	github	GitHub	query-github-exact	1f4f7e40c6b1eff620ce3a9ef6763be34812daa54223c3472445638a47d66e87	2026-08-26	固定版本的一手事实
source-f3286dcb60e4fe624fe3	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/compaction.md	verified	official_document	github	GitHub	query-github-exact	cedb244c60d046f857a2de15116f541eb7751216aa7045134889a0ab5572b367	2026-08-26	固定版本的一手事实
source-8830149ed8d66cbb13e1	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/sessions.md	verified	official_document	github	GitHub	query-github-exact	eaa7eafa13b7c380029f8a689a9724490edee6c1acbe5109489d4e44af69544b	2026-08-26	固定版本的一手事实
source-f359b4889090cb3bec03	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/session-format.md	verified	official_document	github	GitHub	query-github-exact	bbe8deee083e2d9942ce950c58cc74f00e435fb604925716c99ec2451f20fff4	2026-08-26	固定版本的一手事实
source-495821254458a81d946e	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/sdk.md	verified	official_tutorial	github	GitHub	query-github-exact	2925beb71a40fd8b1ed5b961b283ec05ad7df77dbae4513c3cf21b719741f304	2026-08-26	固定版本的一手事实
source-9ee3cee511f9b43173cd	https://github.com/earendil-works/pi/blob/8fa7eebd235355522c8104166b4f1f959b4e2f10/packages/coding-agent/docs/rpc.md	verified	official_tutorial	github	GitHub	query-github-exact	cb3fbe57f87d7c25f9e0f99af6383db1daeea30bbafca79939f3a2d8cd7c5728	2026-08-26	固定版本的一手事实
source-fc13252fcf800545b4ec	https://pi.dev/	verified	official_web	google_search	Official Web	query-google_search-exact	06ceef789c40cdfa147abd0ee45c04c78b4a0bb26518686d9ad6afe4020d350b	2026-08-26	固定版本的一手事实
source-590c5a3faed6d24e1cdb	https://pi.dev/news/2026/5/7/pi-has-a-new-home	verified	official_web	google_search	Official Web	query-google_search-exact	d73daa9d13ff260659451644b2e9d45e193527bcc90de25dfd968c1a89e9bdda	2026-08-26	固定版本的一手事实
source-2bb843c7fee616c919b3	https://mariozechner.at/posts/2025-11-30-pi-coding-agent	verified	creator_retrospective	google_search	Official Web	query-google_search-exact	db94db95496a185333d3891d954d67b7070d4bf697ecaaac32d9ba14c9f32725	2026-08-26	固定版本的一手事实
source-e9314ed1416da9038e36	https://github.com/earendil-works/pi/releases/tag/v0.84.3	verified	official_release	github	GitHub	query-github-exact	f8c644ced42a39093aa3c8615617cfc510c9e53993b7474952387cec0b4feb52	2026-08-26	固定版本的一手事实
source-890a56b0d2aff0c91c90	https://github.com/deepseek-ai/deepseek-harness	verified	official_repository	github	GitHub	query-github-exact	8b0c3fa3201d03de43c93069fd78f1d6cf8263a11f3487728944979bfa3b3cc1	2026-08-26	固定版本的一手事实
source-bc134af50dc2b3d9be0b	https://www.deepseek.com/harness/en	verified	official_web	google_search	Official Web	query-google_search-exact	427d8f90221a915541447907fc0cc91a787b4f6ede500c6dc03564bd8dbce2a5	2026-08-26	固定版本的一手事实
source-06c8a49d709e2f4060ef	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/architecture.md	verified	official_document	github	GitHub	query-github-exact	9ab1bbcfc386f8f84b7561ed75aad031e314d11046ec1f770c476c02db9a2370	2026-08-26	固定版本的一手事实
source-f71ccca1aeb5d2bd946f	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/cordis-primer.md	verified	official_document	github	GitHub	query-github-exact	773ed5f89c60e2f7984e3525ef73e91eb8aa9375887745662a03576223586b73	2026-08-26	固定版本的一手事实
source-810907e7268d7b547731	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/agent-lifecycle.md	verified	official_document	github	GitHub	query-github-exact	d49b587f33c147096c9845b4e05aeed9875ccdb42e1eb1e360f7cdca7b13fbb5	2026-08-26	固定版本的一手事实
source-ebfbad2737c56b90b567	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/tool-execution-pipeline.md	verified	official_document	github	GitHub	query-github-exact	171abf126bd062510f6ef585490eea90c044d5a6c140787a098df6d0118b2b09	2026-08-26	固定版本的一手事实
source-a1c6924245412ec56344	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/subsystems/session.md	verified	official_document	github	GitHub	query-github-exact	438bd0c0db3d2803372bed9fd75e9a35e1868a52cb4a796af72f66919b67c49c	2026-08-26	固定版本的一手事实
source-af62c40b2f21f4e353d7	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/subsystems/compaction.md	verified	official_document	github	GitHub	query-github-exact	036ae5609837314f6d04aa01abb26d689e7655ef6f897d25885acf5c902cf16e	2026-08-26	固定版本的一手事实
source-7635a0ee17a298360975	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/packages/llm/llm-pi-ai/README.md	verified	official_document	github	GitHub	query-github-exact	6819022171bf7fc73338bd2e7de6912a1fd129db593b35548ed2574e2cfd134c	2026-08-26	固定版本的一手事实
source-492469019ce2c8164489	https://github.com/deepseek-ai/deepseek-harness/blob/b150a551b8d465e31e418e1b2eaf5e79bbb7d28e/docs/user/guide/python-sdk.md	verified	official_tutorial	github	GitHub	query-github-exact	aaf7775e710dac25df683d3f3b2883c7912fee308fe1044d6784db88ab16c1ed	2026-08-26	固定版本的一手事实
