evidence_id	claim_group_id	claim	claim_value	entity	timeframe	source_id	source_url	source_type	access_date	excerpt_or_observation	evidence_grade	supports	counter_evidence	verification_status	confidence	independent_source_count	source_independence	reviewer_status	review_notes
EV-001	CG-001	活动公开名称为 Indie Hackers Meetup in Shanghai，地点为 Spark Lab	marc_spark_lab_meetup	Event	2026-08-09	SRC-001	https://luma.com/kwon9drc	official	2026-08-09	页面标题、Hosted By Marc Lou、Where we meet Spark Lab 与上海地址同时出现	strong	fact	379 Went 可能是报名字段而非实际入场人数	corroborated	high	2	independent	accepted	主审直接读取页面；只接受活动与场地，不接受 379 为实际到场
EV-002	CG-001	Marc 同日称其为第十场 Indie Hacker Meetup，台风后仍有近百人加入	marc_spark_lab_meetup	Event	2026-08-09	SRC-002	https://x.com/marclou	social	2026-08-09	本人主页当日帖含 10th Indie Hacker Meetup、Shanghai、台风与 almost 100 people joined	medium	fact	Luma 的 379 Went 与近百人不是同一口径	corroborated	high	2	independent	accepted	与活动页交叉支持活动实体；到场人数保留冲突口径
EV-003	CG-002	主讲人是 Marc Lou，转写中的 Marcus 是误识别	marc_lou	Marc Lou	2026-08-09	SRC-001	https://luma.com/kwon9drc	official	2026-08-09	活动页 Hosted By 显示 Marc Lou	strong	fact	无	corroborated	high	2	independent	accepted	与本人作品页产品链交叉
EV-004	CG-002	Marc Lou 本人作品页列出现场提到的 ShipFast、DataFast、TrustMRR、Zenvoice 等	marc_lou	Marc Lou	2026-08-09	SRC-004	https://marclou.com/	official	2026-08-09	页面标题 Marc Lou，并列出与现场功能完全对齐的产品组合	strong	fact	收入栏为本人自报，不能据此审计	corroborated	high	2	independent	accepted	用于身份和产品归属，不把收入当独立事实
EV-005	CG-003	说话人 7 高置信为 Damon Chen，而不是开场 Jack	damon_chen	Damon Chen	2026-08-09	SRC-003	https://x.com/damonchen	social	2026-08-09	Damon 本人简介列 Testimonial.to/PDF.ai，并在当日写 Met at Marc's meetup 与 meeting @marclou	strong	fact	自动说话人编号可能漂移	corroborated	high	2	independent	accepted	与 Marc 当天指向 Damon 的帖交叉
EV-006	CG-003	Marc 当日公开帖把 Testimonial.to 创始人的现场会面与 Damon 的帖子连接	damon_chen	Damon Chen	2026-08-09	SRC-002	https://x.com/marclou	social	2026-08-09	Marc 写 met my indie hacker hero 并嵌入 Damon 当日见面帖，提到 Testimonial.to	medium	fact	500k ARR 仍是公开自报	corroborated	high	2	independent	accepted	只接受人物对齐，不审计 ARR
EV-007	CG-004	Sheep Pass 应校正为 ShipFast，产品是 SaaS/AI/Web App 的 Next.js boilerplate	shipfast	ShipFast	current page 2026-08-09	SRC-005	https://shipfa.st/	official	2026-08-09	官网明确称 NextJS boilerplate，包含邮件、支付、登录、数据库等	strong	fact	客户数、收入和效果均为产品页自报	single_source	medium	1	independent	accepted	名称与功能直接支持；数字不纳入事实
EV-008	CG-005	Data Policy 应校正为 DataFast，产品做网站分析与营销收入归因	datafast	DataFast	current page 2026-08-09	SRC-006	https://datafa.st/	official	2026-08-09	官网描述识别带来付费客户和收入的营销渠道	strong	fact	25k/mo 由创始人页面自报	single_source	medium	1	independent	accepted	只接受产品定位
EV-009	CG-006	Stripe 0.4% invoice fee 工具应校正为 Zenvoice	zenvoice	Zenvoice	current page 2026-08-09	SRC-007	https://zenvoice.io/	official	2026-08-09	官网写 no 0.4% Stripe invoice fee，并让客户自助生成编辑下载 Stripe 发票	strong	fact	费率与产品规则会变化	single_source	medium	1	independent	accepted	作为访问日页面事实
EV-010	CG-007	TrustMRR 是收入数据库并含 SaaS 收购市场	trustmrr	TrustMRR	current page 2026-08-09	SRC-008	https://trustmrr.com/	official	2026-08-09	官网标题为 database of verified startup revenues，并提供 buy/sell acquisition marketplace	strong	fact	官网 200K monthly visitors 与现场 10,000 buyers 口径不同	single_source	medium	1	independent	accepted	不以访客量验证买家数
EV-011	CG-008	Damon 的 Testimonial 产品存在可嵌入 Wall of Love 的传播机制	testimonial_embed	Testimonial	current page 2026-08-09	SRC-009	https://testimonial.to/	official	2026-08-09	产品页展示收集 testimonial 与在网站嵌入 Wall of Love 的功能	strong	fact	产品页不能证明 PLG 的因果增量	single_source	medium	1	independent	accepted	仅支持产品机制
EV-012	CG-009	公开创始人页面在访问日显示 Marc 组合约 107.4k 美元/月和 DataFast 25.7k/月	founder_self_report_20260809	Marc Lou portfolio	2026-08-09	SRC-004	https://marclou.com/	official	2026-08-09	页面首页显示 $107.4k/month，DataFast 项显示 $25.7k/mo	medium	fact	无审计资料，页面会变化	single_source	low	1	independent	accepted	只能表述为创始人页面自报快照，不能写成利润或已审计收入
EV-013	CG-010	尽早上线一个有基本效用的产品并与用户交谈可加速学习	launch_talk_iterate	Early startup validation	current guidance 2026-08-09	SRC-012	https://www.ycombinator.com/library/4D-yc-s-essential-startup-advice	official	2026-08-09	YC 建议 launch right away 前提是有 quantum of utility，并建议手工服务首批客户和持续交谈迭代	medium	fact	权威实践建议不是随机因果实验	single_source	low	1	independent	accepted	用于支持机制，不写成成功保证
